Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr3	3	161274019	162207853	933835	0.5252	Unbalanced	S-tag252357	S-tag219748	48311	48249	63
chr3	3	162226821	197852564	35625744	0.5	Hetero	S-tag196190	S-tag251937	51111	48312	2800
chr4	4	69404	67820916	67751513	0.9182	Unbalanced	S-tag272826	S-tag301604	55713	51112	4602
chr4	4	67842147	190915650	123073504	0.8804	Unbalanced	S-tag078376	S-tag011735	64556	55714	8843
chr5	5	38139	6987514	6949376	0.6318	Unbalanced	S-tag083571	S-tag322662	65060	64557	504
chr5	5	7017756	23655774	16638019	0.6315	Unbalanced	S-tag156335	S-tag266680	66157	65061	1097
chr5	5	23673960	24791380	1117421	0.6467	Unbalanced	S-tag322501	S-tag020327	66234	66158	77
chr5	5	24802084	42568392	17766309	0.6327	Unbalanced	S-tag064182	S-tag094596	67534	66235	1300
chr5	5	42582527	46098785	3516259	0.6412	Unbalanced	S-tag151945	S-tag031781	67772	67535	238
chr5	5	46113638	49705970	3592333	0.6604	Unbalanced	S-tag289568	S-tag007259	67807	67773	35
chr5	5	49726355	143176242	93449888	0.9096	Unbalanced	S-tag244123	S-tag240443	74201	67808	6394
chr5	5	143197848	180698312	37500465	0.879	Unbalanced	S-tag306577	S-tag320993	76910	74202	2709
chr6	6	204909	170913051	170708143	0.8931	Unbalanced	S-tag032787	S-tag281247	89630	76911	12720
chr7	7	41421	111134268	111092848	0.5	Hetero	S-tag316675	S-tag147421	97667	89631	8037
chr7	7	111151253	112262623	1111371	0.5376	Unbalanced	S-tag160177	S-tag202028	97742	97668	75
chr7	7	112268523	159118443	46849921	0.5	Hetero	S-tag123109	S-tag164900	101597	97743	3855
chr8	8	172417	20152143	19979727	0.5881	Unbalanced	S-tag057861	S-tag025824	103643	101598	2046
chr8	8	20162109	22460204	2298096	0.6024	Unbalanced	S-tag230918	S-tag104208	103817	103644	174
chr8	8	22481449	37767527	15286079	0.5848	Unbalanced	S-tag175709	S-tag237804	104955	103818	1138
chr8	8	37786457	39480366	1693910	0.5692	Unbalanced	S-tag109490	S-tag226190	105119	104956	164
chr8	8	39502217	62531897	23029681	0.585	Unbalanced	S-tag297829	S-tag072626	106636	105120	1517
chr8	8	62548905	66064881	3515977	0.5773	Unbalanced	S-tag306188	S-tag041490	106872	106637	236
chr8	8	66082011	68879530	2797520	0.6118	Unbalanced	S-tag083921	S-tag264821	107067	106873	195
chr8	8	68881933	70618511	1736579	0.5857	Unbalanced	S-tag301638	S-tag317871	107239	107068	172
chr8	8	70621828	72218617	1596790	0.5418	Unbalanced	S-tag033913	S-tag139926	107405	107240	166
chr8	8	72238635	74928092	2689458	0.6019	Unbalanced	S-tag140618	S-tag121648	107586	107406	181
chr8	8	74950108	85902335	10952228	0.5814	Unbalanced	S-tag179061	S-tag230788	108369	107587	783
chr8	8	85921046	98485861	12564816	0.5931	Unbalanced	S-tag154118	S-tag164623	109245	108370	876
chr8	8	98503507	102976004	4472498	0.5735	Unbalanced	S-tag189231	S-tag127752	109589	109246	344
chr8	8	102984312	104460357	1476046	0.5984	Unbalanced	S-tag206846	S-tag147988	109714	109590	125
chr8	8	104471749	105668650	1196902	0.5691	Unbalanced	S-tag111652	S-tag000319	109794	109715	80
chr8	8	105672475	114595762	8923288	0.5863	Unbalanced	S-tag230832	S-tag287214	110978	109795	1184
chr8	8	114614730	118830894	4216165	0.5774	Unbalanced	S-tag016233	S-tag262133	111343	110979	365
chr8	8	118834952	121194659	2359708	0.596	Unbalanced	S-tag117519	S-tag055952	111607	111344	264
chr8	8	121210069	132829733	11619665	0.5801	Unbalanced	S-tag136983	S-tag087143	112582	111608	975
chr8	8	132856488	137481960	4625473	0.5954	Unbalanced	S-tag229544	S-tag300628	112891	112583	309
chr8	8	137488037	139877774	2389738	0.6089	Unbalanced	S-tag226056	S-tag254491	113051	112892	160
chr8	8	139900159	144574611	4674453	0.5861	Unbalanced	S-tag327796	S-tag090436	113406	113052	355
chr8	8	144589212	146292734	1703523	0.5576	Unbalanced	S-tag121981	S-tag181025	113551	113407	145
chr9	9	204738	20322257	20117520	0.7194	Unbalanced	S-tag285604	S-tag136852	115264	113552	1713
chr9	9	20338429	24249963	3911535	0.8371	Unbalanced	S-tag204301	S-tag108990	115714	115265	450
chr9	9	24274746	27901055	3626310	0.7461	Unbalanced	S-tag174267	S-tag068126	116004	115715	290
chr9	9	27915644	141054761	113139118	0.8981	Unbalanced	S-tag132851	S-tag292642	122083	116005	6079
chr10	10	126070	135434303	135308234	0.5	Hetero	S-tag288298	S-tag259257	131774	122084	9691
chr11	11	192764	30008162	29815399	0.8724	Unbalanced	S-tag179986	S-tag139491	133956	131775	2182
chr11	11	30023175	93617540	63594366	0.5	Hetero	S-tag194321	S-tag174197	138406	133957	4450
chr11	11	93628327	134938847	41310521	0.8895	Unbalanced	S-tag115332	S-tag183870	141718	138407	3312
chr12	12	189400	11088981	10899582	0.636	Unbalanced	S-tag092992	S-tag280541	142675	141719	957
chr12	12	11117159	14342618	3225460	0.6259	Unbalanced	S-tag191548	S-tag147842	143012	142676	337
chr12	12	14354060	15886524	1532465	0.7003	Unbalanced	S-tag170189	S-tag043109	143121	143013	109
chr12	12	15899535	20785224	4885690	0.6423	Unbalanced	S-tag048987	S-tag214982	143533	143122	412
chr12	12	20790972	29318500	8527529	0.6338	Unbalanced	S-tag308465	S-tag324510	144180	143534	647
chr12	12	29345880	32522160	3176281	0.6414	Unbalanced	S-tag158520	S-tag167152	144406	144181	226
chr12	12	32535815	133818115	101282301	0.5	Hetero	S-tag085914	S-tag062823	152071	144407	7665
chr13	13	19084823	56772696	37687874	0.5	Hetero	S-tag129068	S-tag169078	155191	152072	3120
chr13	13	56784397	57633445	849049	0.5575	Unbalanced	S-tag223378	S-tag156980	155248	155192	57
chr13	13	57636057	115103150	57467094	0.5	Hetero	S-tag054300	S-tag056489	160002	155249	4754
chr14	14	20219083	107282024	87062942	0.5	Hetero	S-tag079171	S-tag253878	166755	160003	6753
chr15	15	20161372	24923390	4762019	0.5	Hetero	S-tag171992	S-tag248900	166884	166756	129
chr15	15	24939990	35798819	10858830	0.583	Unbalanced	S-tag121668	S-tag321032	167566	166885	682
chr15	15	35815761	40039156	4223396	0.5813	Unbalanced	S-tag114638	S-tag326583	167907	167567	341
chr15	15	40064229	43748304	3684076	0.5872	Unbalanced	S-tag325969	S-tag158375	168222	167908	315
chr15	15	43762196	44206520	444325	0.5376	Unbalanced	S-tag286671	S-tag249163	168249	168223	27
chr15	15	44223187	46743452	2520266	0.5736	Unbalanced	S-tag026201	S-tag070975	168429	168250	180
chr15	15	46747742	58838010	12090269	0.5876	Unbalanced	S-tag216712	S-tag072893	169335	168430	906
chr15	15	58863526	61048578	2185053	0.5976	Unbalanced	S-tag209352	S-tag126814	169483	169336	148
chr15	15	61067805	74351554	13283750	0.5781	Unbalanced	S-tag065471	S-tag240069	170511	169484	1028
chr15	15	74413778	78923845	4510068	0.591	Unbalanced	S-tag112969	S-tag308549	170891	170512	380
chr15	15	78926018	91404705	12478688	0.583	Unbalanced	S-tag266684	S-tag027978	171867	170892	976
chr15	15	91406579	102397317	10990739	0.5908	Unbalanced	S-tag221211	S-tag076385	172764	171868	897
chr16	16	83887	71715378	71631492	0.5	Hetero	S-tag168326	S-tag195681	177069	172765	4305
chr16	16	71717384	72304915	587532	0.6099	Unbalanced	S-tag313718	S-tag264395	177125	177070	56
chr16	16	72323298	72622827	299530	0.527	Unbalanced	S-tag311183	S-tag238150	177146	177126	21
chr16	16	72647306	90158005	17510700	0.5	Hetero	S-tag211478	S-tag141503	178602	177147	1456
chr17	17	400959	80263427	79862469	0.5	Hetero	S-tag289750	S-tag027976	185023	178603	6421
chr18	18	12842	78007784	77994943	0.905	Unbalanced	S-tag291980	S-tag113045	190617	185024	5594
chr19	19	247232	15813467	15566236	0.9258	Unbalanced	S-tag031412	S-tag294735	192053	190618	1436
chr19	19	15830583	59093239	43262657	0.5	Hetero	S-tag300351	S-tag125192	195453	192054	3400
chr20	20	69094	62912463	62843370	0.5	Hetero	S-tag083344	S-tag288225	200568	195454	5115
chr21	21	9648315	48097610	38449296	0.9003	Unbalanced	S-tag044213	S-tag151578	202915	200569	2347
chr22	22	16054713	51213826	35159114	0.8847	Unbalanced	S-tag002075	S-tag053493	205709	202916	2794
chrX	23	177942	40914355	40736414	0.8398	Unbalanced	S-tag184863	S-tag205845	208629	205710	2920
chrX	23	40933862	155219364	114285503	0.9051	Unbalanced	S-tag243573	S-tag256428	216908	208630	8279
chrY	24	2660163	28799935	26139773	0.5	Hetero	S-tag316182	S-tag022127	217522	216909	614
