Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr8	8	139393909	146292734	6898826	0.5748	Unbalanced	S-tag290584	S-tag181025	113551	113019	533
chr9	9	204738	20427977	20223240	0.806	Unbalanced	S-tag285604	S-tag038276	115284	113552	1733
chr9	9	20432758	21565674	1132917	0.7654	Unbalanced	S-tag188635	S-tag137759	115389	115285	105
chr9	9	21573049	22523533	950485	0.6906	Unbalanced	S-tag319708	S-tag171763	115599	115390	210
chr9	9	22549702	25503391	2953690	0.788	Unbalanced	S-tag015600	S-tag302896	115797	115600	198
chr9	9	25514397	141054761	115540365	0.8702	Unbalanced	S-tag215913	S-tag292642	122083	115798	6286
chr10	10	126070	2290244	2164175	0.5	Hetero	S-tag288298	S-tag044616	122293	122084	210
chr10	10	2317738	3156168	838431	0.5451	Unbalanced	S-tag272694	S-tag089927	122350	122294	57
chr10	10	3173581	106199937	103026357	0.5	Hetero	S-tag099077	S-tag090120	129733	122351	7383
chr10	10	106207209	107366881	1159673	0.5318	Unbalanced	S-tag048808	S-tag196871	129812	129734	79
chr10	10	107376457	135434303	28057847	0.5	Hetero	S-tag020308	S-tag259257	131774	129813	1962
chr11	11	192764	1075194	882431	0.5	Hetero	S-tag179986	S-tag059191	131865	131775	91
chr11	11	1112891	2164488	1051598	0.5729	Unbalanced	S-tag179322	S-tag260204	131930	131866	65
chr11	11	2169014	20310244	18141231	0.5	Hetero	S-tag323911	S-tag142329	133295	131931	1365
chr11	11	20328840	22045832	1716993	0.53	Unbalanced	S-tag211823	S-tag234957	133412	133296	117
chr11	11	22058517	93582153	71523637	0.5	Hetero	S-tag218764	S-tag257373	138404	133413	4992
chr11	11	93594946	134938847	41343902	0.8688	Unbalanced	S-tag324880	S-tag183870	141718	138405	3314
chr12	12	189400	2253347	2063948	0.5814	Unbalanced	S-tag092992	S-tag036265	142017	141719	299
chr12	12	2270942	14496346	12225405	0.5736	Unbalanced	S-tag106382	S-tag250186	143022	142018	1005
chr12	12	14520701	15886524	1365824	0.633	Unbalanced	S-tag310950	S-tag043109	143121	143023	99
chr12	12	15899535	19181234	3281700	0.5822	Unbalanced	S-tag048987	S-tag116829	143406	143122	285
chr12	12	19189498	21169707	1980210	0.5654	Unbalanced	S-tag033621	S-tag201333	143559	143407	153
chr12	12	21182292	32250251	11067960	0.5814	Unbalanced	S-tag025784	S-tag238050	144386	143560	827
chr12	12	32265372	133818115	101552744	0.5	Hetero	S-tag310437	S-tag062823	152071	144387	7685
chr13	13	19084823	56856624	37771802	0.5	Hetero	S-tag129068	S-tag074735	155198	152072	3127
chr13	13	56886412	57603853	717442	0.5382	Unbalanced	S-tag325509	S-tag047344	155246	155199	48
chr13	13	57604989	115103150	57498162	0.5	Hetero	S-tag269215	S-tag056489	160002	155247	4756
chr14	14	20219083	107282024	87062942	0.5	Hetero	S-tag079171	S-tag253878	166755	160003	6753
chr15	15	20161372	102397317	82235946	0.5	Hetero	S-tag171992	S-tag076385	172764	166756	6009
chr16	16	83887	27048341	26964455	0.5	Hetero	S-tag168326	S-tag033631	174823	172765	2059
chr16	16	27071881	27717939	646059	0.532	Unbalanced	S-tag108202	S-tag100326	174881	174824	58
chr16	16	27733429	71993665	44260237	0.5	Hetero	S-tag065451	S-tag236715	177104	174882	2223
chr16	16	72007399	72501146	493748	0.5303	Unbalanced	S-tag327820	S-tag256788	177138	177105	34
chr16	16	72517233	80425703	7908471	0.5	Hetero	S-tag081473	S-tag099596	177745	177139	607
chr16	16	80441420	81519766	1078347	0.5612	Unbalanced	S-tag039378	S-tag243755	177829	177746	84
chr16	16	81541587	90158005	8616419	0.5	Hetero	S-tag264359	S-tag141503	178602	177830	773
chr17	17	400959	80263427	79862469	0.5	Hetero	S-tag289750	S-tag027976	185023	178603	6421
chr18	18	12842	78007784	77994943	0.8758	Unbalanced	S-tag291980	S-tag113045	190617	185024	5594
chr19	19	247232	15859712	15612481	0.8858	Unbalanced	S-tag031412	S-tag060419	192056	190618	1439
chr19	19	15886542	59093239	43206698	0.5	Hetero	S-tag137763	S-tag125192	195453	192057	3397
chr20	20	69094	20409524	20340431	0.5	Hetero	S-tag083344	S-tag110696	197681	195454	2228
chr20	20	20428603	21565207	1136605	0.5278	Unbalanced	S-tag219889	S-tag326458	197757	197682	76
chr20	20	21582338	62199100	40616763	0.5	Hetero	S-tag260667	S-tag208698	200495	197758	2738
chr20	20	62212928	62912463	699536	0.5842	Unbalanced	S-tag003541	S-tag288225	200568	200496	73
chr21	21	9648315	48097610	38449296	0.8784	Unbalanced	S-tag044213	S-tag151578	202915	200569	2347
chr22	22	16054713	51213826	35159114	0.8829	Unbalanced	S-tag002075	S-tag053493	205709	202916	2794
chrX	23	177942	25296129	25118188	0.8779	Unbalanced	S-tag184863	S-tag274713	207468	205710	1759
chrX	23	25314722	43593062	18278341	0.7911	Unbalanced	S-tag008974	S-tag140892	208819	207469	1351
chrX	23	43602679	155219364	111616686	0.8845	Unbalanced	S-tag284244	S-tag256428	216908	208820	8089
chrY	24	2660163	28799935	26139773	0.5	Hetero	S-tag316182	S-tag022127	217522	216909	614
