Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
MYCL	chr1	40361095	40367687	6593	-	1p34.2	40361095	40367687	6593	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
MPL	chr1	43803474	43820135	16662	+	1p34.2	43803474	43820135	16662	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
PLK3	chr1	45265896	45271667	5772	+	1p34.1	45265896	45271667	5772	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
PTCH2	chr1	45285515	45308616	23102	-	1p34.1	45285515	45308616	23102	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
MUTYH	chr1	45794913	45806142	11230	-	1p34.1	45794913	45806142	11230	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
CDKN2C	chr1	51434366	51440309	5944	+	1p32.3	51434366	51440309	5944	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
TACSTD2	chr1	59041094	59043166	2073	-	1p32.1	59041094	59043166	2073	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
JUN	chr1	59246462	59249785	3324	-	1p32.1	59246462	59249785	3324	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
JAK1	chr1	65298905	65533429	234525	-	1p31.3	65298905	65533429	234525	Loss	-0.467922271355194	11871907	Unbalanced	0.84	11871907
TGFBR3	chr1	92145899	92371559	225661	-	1p22.1	92145899	92371559	225661	Loss	-0.531622271355194	37423626	Unbalanced	0.9037	42621925
NRAS	chr1	115247084	115259515	12432	-	1p13.2	115247084	115259515	12432	Loss	-0.531622271355194	5174160	Unbalanced	0.9037	42621925
FAM46C	chr1	118148603	118171011	22409	+	1p12	118148603	118171011	22409	Gain	0.265577728644806	30309478	Hetero	0.5	30309478
NOTCH2	chr1	120454175	120612317	158143	-	1p12	120454175	120612317	158143	Gain	0.265577728644806	30309478	Hetero	0.5	30309478
HIST2H3D	chr1	149784779	149785236	458	-	1q21.2	149784779	149785236	458	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
HIST2H3A	chr1	149812258	149812765	508	-	1q21.2	149812258	149812765	508	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
HIST2H3C	chr1	149812258	149812765	508	-	1q21.2	149812258	149812765	508	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
HIST2H3A	chr1	149824180	149824687	508	+	1q21.2	149824180	149824687	508	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
HIST2H3C	chr1	149824180	149824687	508	+	1q21.2	149824180	149824687	508	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
MCL1	chr1	150547026	150552214	5189	-	1q21.3	150547026	150552214	5189	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
TPM3	chr1	154127779	154164611	36833	-	1q21.3	154127779	154164611	36833	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
NTRK1	chr1	156785541	156851642	66102	+	1q23.1	156785541	156851642	66102	Gain	0.622977728644806	16023853	Unbalanced	0.6387	16023853
DDR2	chr1	162602227	162750247	148021	+	1q23.3	162602227	162750247	148021	Gain	0.788077728644806	1965805	Unbalanced	0.6306	1965805
FASLG	chr1	172628147	172636012	7866	+	1q24.3	172628147	172636012	7866	Gain	0.719677728644806	18115538	Unbalanced	0.6342	18115538
TPR	chr1	186280785	186344457	63673	-	1q31.1	186280785	186344457	63673	Gain	0.719677728644806	18115538	Unbalanced	0.6342	18115538
CDC73	chr1	193091087	193223942	132856	+	1q31.2	193091087	193223942	132856	Gain	0.720677728644806	3230624	Unbalanced	0.64	3230624
MDM4	chr1	204485506	204527248	41743	+	1q32.1	204485506	204527248	41743	Gain	0.582477728644806	15263319	Unbalanced	0.6323	15263319
SLC45A3	chr1	205626980	205649630	22651	-	1q32.1	205626980	205649630	22651	Gain	0.582477728644806	15263319	Unbalanced	0.6323	15263319
IKBKE	chr1	206643585	206670223	26639	+	1q32.1	206643585	206670223	26639	Gain	0.582477728644806	15263319	Unbalanced	0.6323	15263319
TLR5	chr1	223282747	223316624	33878	-	1q41	223282747	223316624	33878	Gain	0.661777728644806	5454224	Unbalanced	0.6421	5454224
H3F3A	chr1	226250407	226259703	9297	+	1q42.12	226250407	226259703	9297	Gain	0.658677728644806	18102469	Unbalanced	0.6308	18102469
PARP1	chr1	226548391	226595801	47411	-	1q42.12	226548391	226595801	47411	Gain	0.658677728644806	18102469	Unbalanced	0.6308	18102469
FH	chr1	241660856	241683085	22230	-	1q43	241660856	241683085	22230	Gain	0.658677728644806	18102469	Unbalanced	0.6308	18102469
AKT3	chr1	243651534	244006886	355353	-	1q43	243651534	244006886	355353	Gain	0.658677728644806	18102469	Unbalanced	0.6308	18102469
MYCN	chr2	16080559	16087129	6571	+	2p24.3	16080559	16087129	6571	Normal	0.0284777286448061	12923306	Unbalanced	0.5832	12923306
DNMT3A	chr2	25455829	25565459	109631	-	2p23.3	25455829	25565459	109631	Normal	-0.00472227135519394	9810870	Unbalanced	0.5816	9810870
ALK	chr2	29415639	30144477	728839	-	2p23.2	29415639	30144477	728839	Normal	-0.00472227135519394	9810870	Unbalanced	0.5816	9810870
STRN	chr2	37064840	37193615	128776	-	2p22.2	37064840	37193615	128776	Normal	0.0444777286448061	14359513	Unbalanced	0.593	14359513
EML4	chr2	42396477	42559688	163212	+	2p21	42396477	42559688	163212	Normal	0.0444777286448061	14359513	Unbalanced	0.593	14359513
PIGF	chr2	46808412	46844251	35840	-	2p21	46808412	46844251	35840	Normal	0.0444777286448061	14359513	Unbalanced	0.593	14359513
MSH2	chr2	47630205	47710367	80163	+	2p21	47630205	47710367	80163	Normal	0.0111777286448061	4670858	Unbalanced	0.5816	4670858
MSH6	chr2	48010220	48034092	23873	+	2p16.3	48010220	48034092	23873	Normal	0.0111777286448061	4670858	Unbalanced	0.5816	4670858
FANCL	chr2	58386377	58468515	82139	-	2p16.1	58386377	58468515	82139	Gain	0.132477728644806	3009089	Unbalanced	0.5974	3009089
BCL11A	chr2	60678301	60780633	102333	-	2p16.1	60678301	60780633	102333	Gain	0.132477728644806	3009089	Unbalanced	0.5974	3009089
XPO1	chr2	61705068	61765418	60351	-	2p15	61705068	61765418	60351	Loss	-0.146422271355194	1165185	Unbalanced	0.5619	1165185
SUCLG1	chr2	84650646	84686586	35941	-	2p11.2	84650646	84686586	35941	Normal	0.0452777286448061	63441452	Unbalanced	0.5866	63441452
RANBP2	chr2	109335936	109402267	66332	+	2q12.3	109335936	109402267	66332	Normal	0.0452777286448061	63441452	Unbalanced	0.5866	63441452
PAX8	chr2	113973573	114036498	62926	-	2q13	113973573	114036498	62926	Normal	0.0452777286448061	63441452	Unbalanced	0.5866	63441452
CXCR4	chr2	136871918	136875725	3808	-	2q22.1	136871918	136875725	3808	Gain	0.116677728644806	33377666	Unbalanced	0.5841	33377666
LRP1B	chr2	140988995	142889270	1900276	-	2q22.1	140988995	142889270	1900276	Gain	0.116677728644806	33377666	Unbalanced	0.5841	33377666
ACVR1	chr2	158592957	158732374	139418	-	2q24.1	158592957	158732374	139418	Gain	0.116677728644806	33377666	Unbalanced	0.5841	33377666
PDK1	chr2	173420100	173490351	70252	+	2q31.1	173420100	173490351	70252	Normal	0.0309777286448061	4754001	Unbalanced	0.58	4754001
NFE2L2	chr2	178095030	178129859	34830	-	2q31.2	178095030	178129859	34830	Gain	0.0860777286448061	7585273	Unbalanced	0.5935	7585273
STAT1	chr2	191833761	191878976	45216	-	2q32.2	191833761	191878976	45216	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
STAT4	chr2	191894301	192016322	122022	-	2q32.2	191894301	192016322	122022	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
SF3B1	chr2	198256697	198299817	43121	-	2q33.1	198256697	198299817	43121	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
CASP8	chr2	202098165	202152434	54270	+	2q33.1	202098165	202152434	54270	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
FZD7	chr2	202899309	202903160	3852	+	2q33.1	202899309	202903160	3852	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
CTLA4	chr2	204732510	204738683	6174	+	2q33.2	204732510	204738683	6174	Normal	0.0242777286448061	23655124	Unbalanced	0.5842	23655124
IDH1	chr2	209100950	209119867	18918	-	2q34	209100950	209119867	18918	Normal	0.0141777286448061	13212721	Unbalanced	0.5875	13212721
ERBB4	chr2	212240441	213403352	1162912	-	2q34	212240441	213403352	1162912	Normal	0.0141777286448061	13212721	Unbalanced	0.5875	13212721
BARD1	chr2	215590369	215674435	84067	-	2q35	215590369	215674435	84067	Normal	0.0141777286448061	13212721	Unbalanced	0.5875	13212721
ATIC	chr2	216176678	216214496	37819	+	2q35	216176678	216214496	37819	Normal	0.0141777286448061	13212721	Unbalanced	0.5875	13212721
FN1	chr2	216225162	216300793	75632	-	2q35	216225162	216300793	75632	Normal	0.0141777286448061	13212721	Unbalanced	0.5875	13212721
FANCD2	chr3	10068070	10143621	75552	+	3p25.3	10068070	10143621	75552	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
VHL	chr3	10183318	10195354	12037	+	3p25.3	10183318	10195354	12037	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
PPARG	chr3	12329348	12475855	146508	+	3p25.2	12329348	12475855	146508	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
RAF1	chr3	12625099	12705700	80602	-	3p25.2	12625099	12705700	80602	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
TOP2B	chr3	25639395	25705863	66469	-	3p24.2	25639395	25705863	66469	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
TGFBR2	chr3	30647993	30735633	87641	+	3p24.1	30647993	30735633	87641	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
CCR4	chr3	32993065	32996403	3339	+	3p22.3	32993065	32996403	3339	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
MLH1	chr3	37034840	37092337	57498	+	3p22.2	37034840	37092337	57498	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
MYD88	chr3	38179968	38184512	4545	+	3p22.2	38179968	38184512	4545	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
CTNNB1	chr3	41240941	41281939	40999	+	3p22.1	41240941	41281939	40999	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
SETD2	chr3	47057897	47205467	147571	-	3p21.31	47057897	47205467	147571	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
SMARCC1	chr3	47627377	47823405	196029	-	3p21.31	47627377	47823405	196029	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
MST1R	chr3	49924435	49941070	16636	-	3p21.31	49924435	49941070	16636	Loss	-0.582222271355194	47220357	Unbalanced	0.8967	50121128
BAP1	chr3	52435019	52444121	9103	-	3p21.1	52435019	52435912	894	Loss	-2.18836806170295	40284	Unbalanced	0.7989	7043164
BAP1	chr3	52435019	52444121	9103	-	3p21.1	52443280	52444121	842	Loss	-0.564222271355194	4812842	Unbalanced	0.7989	7043164
PBRM1	chr3	52579367	52719866	140500	-	3p21.1	52579367	52719866	140500	Loss	-0.564222271355194	4812842	Unbalanced	0.7989	7043164
PDHB	chr3	58413356	58419579	6224	-	3p14.3	58413356	58419579	6224	Loss	-0.550922271355194	33199092	Unbalanced	0.861	33199092
SUCLG2	chr3	67410883	67705038	294156	-	3p14.1	67410883	67705038	294156	Loss	-0.550922271355194	33199092	Unbalanced	0.861	33199092
MITF	chr3	69788585	70017488	228904	+	3p14.1	69788585	70017488	228904	Loss	-0.550922271355194	33199092	Unbalanced	0.861	33199092
EPHA3	chr3	89156673	89531284	374612	+	3p11.1	89156673	89531284	374612	Loss	-0.550922271355194	33199092	Unbalanced	0.861	33199092
TFG	chr3	100428133	100467811	39679	+	3q12.2	100428133	100467811	39679	Gain	0.252577728644806	25986529	Hetero	0.5	67735872
GSK3B	chr3	119540801	119813264	272464	-	3q13.33	119540801	119813264	272464	Loss	-0.652259883369103	1661772	Hetero	0.5	67735872
GATA2	chr3	128198264	128212030	13767	-	3q21.3	128198264	128212030	13767	Gain	0.252577728644806	17258360	Hetero	0.5	67735872
EPHB1	chr3	134514098	134979307	465210	+	3q22.2	134514098	134979307	465210	Gain	0.252577728644806	17258360	Hetero	0.5	67735872
PIK3CB	chr3	138371539	138478201	106663	-	3q22.3	138371539	138455427	83889	Gain	0.252577728644806	17258360	Hetero	0.5	67735872
FOXL2	chr3	138663065	138665982	2918	-	3q22.3	138663065	138665982	2918	Gain	0.285777728644806	22774771	Hetero	0.5	67735872
ATR	chr3	142168076	142297668	129593	-	3q23	142168076	142297668	129593	Gain	0.285777728644806	22774771	Hetero	0.5	67735872
PIK3CA	chr3	178866310	178957881	91572	+	3q26.32	178866310	178957881	91572	Gain	0.295377728644806	12238267	Hetero	0.5	35625744
ACTL6A	chr3	179280667	179306193	25527	+	3q26.33	179280667	179306193	25527	Gain	0.295377728644806	12238267	Hetero	0.5	35625744
SOX2	chr3	181429711	181432223	2513	+	3q26.33	181429711	181432223	2513	Gain	0.295377728644806	12238267	Hetero	0.5	35625744
KLHL6	chr3	183205318	183273499	68182	-	3q27.1	183205318	183273499	68182	Gain	0.203277728644806	15263114	Hetero	0.5	35625744
EPHB3	chr3	184279586	184300196	20611	+	3q27.1	184279586	184300196	20611	Gain	0.203277728644806	15263114	Hetero	0.5	35625744
ETV5	chr3	185764105	185826901	62797	-	3q27.2	185764105	185826901	62797	Gain	0.203277728644806	15263114	Hetero	0.5	35625744
BCL6	chr3	187439164	187463513	24350	-	3q27.3	187439164	187463513	24350	Gain	0.203277728644806	15263114	Hetero	0.5	35625744
TACC3	chr4	1723216	1746905	23690	+	4p16.3	1723216	1746905	23690	Loss	-0.558622271355194	34703091	Unbalanced	0.9182	67751513
FGFR3	chr4	1795038	1810599	15562	+	4p16.3	1795038	1810599	15562	Loss	-0.558622271355194	34703091	Unbalanced	0.9182	67751513
SLC34A2	chr4	25657434	25680368	22935	+	4p15.2	25657434	25680368	22935	Loss	-0.558622271355194	34703091	Unbalanced	0.9182	67751513
PDGFRA	chr4	55095263	55164412	69150	+	4q12	55095263	55164412	69150	Loss	-0.558622271355194	32965485	Unbalanced	0.9182	67751513
KIT	chr4	55524094	55606881	82788	+	4q12	55524094	55606881	82788	Loss	-0.558622271355194	32965485	Unbalanced	0.9182	67751513
KDR	chr4	55944425	55991762	47338	-	4q12	55944425	55991762	47338	Loss	-0.558622271355194	32965485	Unbalanced	0.9182	67751513
EPHA5	chr4	66185280	66536213	350934	-	4q13.1	66185280	66536213	350934	Loss	-0.558622271355194	32965485	Unbalanced	0.9182	67751513
SEC31A	chr4	83739661	83821724	82064	-	4q21.22	83739661	83821724	82064	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
TET2	chr4	106067031	106200960	133930	+	4q24	106067031	106200960	133930	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
CCNA2	chr4	122737598	122745088	7491	-	4q27	122737598	122745088	7491	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
PLK4	chr4	128802015	128820377	18363	+	4q28.2	128802015	128820377	18363	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
INPP4B	chr4	142949181	143767604	818424	-	4q31.21	142949181	143767604	818424	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
FBXW7	chr4	153242409	153456393	213985	-	4q31.3	153242409	153456393	213985	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
VEGFC	chr4	177604684	177713899	109216	-	4q34.3	177604684	177713899	109216	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
CASP3	chr4	185548849	185570629	21781	-	4q35.1	185548849	185570629	21781	Loss	-0.518822271355194	123073504	Unbalanced	0.8804	123073504
BRD9	chr5	863849	892939	29091	-	5p15.33	863849	892939	29091	Gain	0.575777728644806	6949376	Unbalanced	0.6318	6949376
IL7R	chr5	35856976	35879705	22730	+	5p13.2	35856976	35879705	22730	Gain	0.723977728644806	17766309	Unbalanced	0.6327	17766309
RICTOR	chr5	38938022	39074510	136489	-	5p13.1	38938022	39074510	136489	Gain	0.723977728644806	17766309	Unbalanced	0.6327	17766309
FGF10	chr5	44305096	44388784	83689	-	5p12	44305096	44388784	83689	Gain	0.625277728644806	3516259	Unbalanced	0.6412	3516259
MAP3K1	chr5	56110899	56191978	81080	+	5q11.2	56110899	56191978	81080	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
PLK2	chr5	57749809	57755966	6158	-	5q11.2	57749809	57755966	6158	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
PIK3R1	chr5	67511583	67597649	86067	+	5q13.1	67511583	67597649	86067	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
CCNB1	chr5	68462836	68474070	11235	+	5q13.2	68462836	68474070	11235	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
APC	chr5	112043201	112181936	138736	+	5q22.2	112043201	112181936	138736	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
RAD50	chr5	131892615	131980313	87699	+	5q31.1	131892615	131980313	87699	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
CTNNA1	chr5	138089074	138270723	181650	+	5q31.2	138089074	138270723	181650	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
FCHSD1	chr5	141018868	141030986	12119	-	5q31.3	141018868	141030986	12119	Loss	-0.515322271355194	93449888	Unbalanced	0.9096	93449888
CSNK1A1	chr5	148875456	148931115	55660	-	5q32	148875456	148931115	55660	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
CSF1R	chr5	149432853	149492935	60083	-	5q32	149432853	149492935	60083	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
PDGFRB	chr5	149493401	149535422	42022	-	5q32	149493401	149535422	42022	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
CD74	chr5	149781199	149792499	11301	-	5q32	149781199	149792499	11301	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
NPM1	chr5	170814707	170837888	23182	+	5q35.1	170814707	170837888	23182	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
FGFR4	chr5	176513872	176525143	11272	+	5q35.2	176513872	176525143	11272	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
SQSTM1	chr5	179233387	179265077	31691	+	5q35.3	179233387	179265077	31691	Loss	-0.524222271355194	36148149	Unbalanced	0.879	37500465
FLT4	chr5	180028505	180076624	48120	-	5q35.3	180028505	180076624	48120	Loss	-0.638361444181386	1329632	Unbalanced	0.879	37500465
IRF4	chr6	391738	411443	19706	+	6p25.3	391738	411443	19706	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3A	chr6	26020717	26021186	470	+	6p22.2	26020717	26021186	470	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3B	chr6	26031816	26032288	473	-	6p22.2	26031816	26032288	473	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3C	chr6	26045638	26046097	460	+	6p22.2	26045638	26046097	460	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3D	chr6	26197011	26199521	2511	-	6p22.2	26197011	26199521	2511	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3E	chr6	26225382	26225844	463	+	6p22.2	26225382	26225844	463	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3F	chr6	26250369	26250835	467	-	6p22.2	26250369	26250835	467	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3G	chr6	26271145	26271612	468	-	6p22.2	26271145	26271612	468	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3H	chr6	27777841	27778314	474	+	6p22.1	27777841	27778314	474	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3I	chr6	27839622	27840099	478	-	6p22.1	27839622	27840099	478	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
HIST1H3J	chr6	27858092	27858570	479	-	6p22.1	27858092	27858570	479	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
DDR1	chr6	30850389	30867933	17545	+	6p21.33	30850389	30867933	17545	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
NOTCH4	chr6	32162619	32191844	29226	-	6p21.32	32162619	32191844	29226	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
BRD2	chr6	32936436	32949282	12847	+	6p21.32	32936436	32949282	12847	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
DAXX	chr6	33286334	33290793	4460	-	6p21.32	33286334	33290793	4460	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
BAK1	chr6	33540322	33548070	7749	-	6p21.31	33540322	33548070	7749	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
FANCE	chr6	35420137	35434881	14745	+	6p21.31	35420137	35434881	14745	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
CDKN1A	chr6	36644236	36655116	10881	+	6p21.2	36644236	36655116	10881	Loss	-0.598622271355194	39579226	Unbalanced	0.8931	170708143
CCND3	chr6	41902670	42016632	113963	-	6p21.1	41902670	42016632	113963	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
VEGFA	chr6	43737945	43754223	16279	+	6p21.1	43737945	43754223	16279	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
PRDM1	chr6	106534194	106557814	23621	+	6q21	106534194	106557814	23621	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
FYN	chr6	111981534	112194655	213122	-	6q21	111981534	112194655	213122	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
WISP3	chr6	112375277	112390887	15611	+	6q21	112375277	112390887	15611	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
ROS1	chr6	117609529	117747018	137490	-	6q22.1	117609529	117747018	137490	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
GOPC	chr6	117881432	117923705	42274	-	6q22.1	117881432	117923705	42274	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
MYB	chr6	135502452	135540311	37860	+	6q23.3	135502452	135540311	37860	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
TNFAIP3	chr6	138188324	138204451	16128	+	6q23.3	138188324	138204451	16128	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
ESR1	chr6	152011630	152450738	439109	+	6q25.1	152011630	152450738	439109	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
ARID1B	chr6	157099063	157531913	432851	+	6q25.3	157099063	157531913	432851	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
EZR	chr6	159186772	159240456	53685	-	6q25.3	159186772	159240456	53685	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
IGF2R	chr6	160390130	160532534	142405	+	6q25.3	160390130	160532534	142405	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
PARK2	chr6	161768589	163148834	1380246	-	6q26	161768589	163148834	1380246	Loss	-0.598622271355194	125123472	Unbalanced	0.8931	170708143
PHF10	chr6	170104001	170124106	20106	-	6q27	170104001	170124106	20106	Loss	-0.741026387571305	4073941	Unbalanced	0.8931	170708143
PDGFA	chr7	536896	559481	22586	-	7p22.3	536896	559481	22586	Gain	0.196877728644806	9914838	Hetero	0.5	111092848
CARD11	chr7	2945709	3083579	137871	-	7p22.2	2945709	3083579	137871	Gain	0.196877728644806	9914838	Hetero	0.5	111092848
ACTB	chr7	5566778	5570232	3455	-	7p22.1	5566778	5570232	3455	Gain	0.196877728644806	9914838	Hetero	0.5	111092848
PMS2	chr7	6010555	6048737	38183	-	7p22.1	6010555	6048737	38183	Gain	0.196877728644806	9914838	Hetero	0.5	111092848
ETV1	chr7	13930855	14031050	100196	-	7p21.2	13930855	14031050	100196	Gain	0.329177728644806	12397261	Hetero	0.5	111092848
HDAC9	chr7	18126564	19042037	915474	+	7p21.1	18126564	19042037	915474	Gain	0.329177728644806	12397261	Hetero	0.5	111092848
GPNMB	chr7	23286315	23314729	28415	+	7p15.3	23286315	23314729	28415	Gain	0.235277728644806	32997454	Hetero	0.5	111092848
INHBA	chr7	41728600	41742706	14107	-	7p14.1	41728600	41742706	14107	Gain	0.235277728644806	32997454	Hetero	0.5	111092848
OGDH	chr7	44646120	44748669	102550	+	7p13	44646120	44748669	102550	Gain	0.235277728644806	32997454	Hetero	0.5	111092848
IKZF1	chr7	50343678	50472798	129121	+	7p12.2	50343678	50472798	129121	Gain	0.235277728644806	32997454	Hetero	0.5	111092848
EGFR	chr7	55086724	55275031	188308	+	7p11.2	55086724	55275031	188308	Gain	0.235277728644806	32997454	Hetero	0.5	111092848
BCL7B	chr7	72950682	72972065	21384	-	7q11.23	72950682	72972065	21384	Gain	0.0720777286448061	21372681	Hetero	0.5	111092848
MDH2	chr7	75677336	75696827	19492	+	7q11.23	75677336	75696827	19492	Gain	0.0720777286448061	21372681	Hetero	0.5	111092848
HSPB1	chr7	75931874	75933614	1741	+	7q11.23	75931874	75933614	1741	Gain	0.0720777286448061	21372681	Hetero	0.5	111092848
HGF	chr7	81328323	81399514	71192	-	7q21.11	81328323	81399514	71192	Gain	0.308777728644806	20918129	Hetero	0.5	111092848
